,Date,B.FAST,LUNCH,Snacks, DINNER,Assorted Flakes,Seasonal Fruits,Egg,Main 1,Main 2,Accompaniment,Bread,Beverage1 ,Beverage2,Beverage/Soup,Salad,Veg,Gravy Veg/Dal,Paneer,Non Veg,Accompaniment.1,Rice,Bread.1,Dessert,Evening Snacks,Main,Accompaniment.2,Beverage1 .1,Beverage2.1,Beverage/Soup.1,Salad.1,Veg.1,Non Veg.1,Gravy Veg/Dal.1,Accompaniment.3,Rice.1,Bread.2,Dessert.1,Seasonal Fruit,Main1,Main2,Beverage1,Dry Veg,Gravy Veg/ Dal,Mouth Freshner,Beverage 1,Beverage 2,Gravy Veg/ Dal.1,Mouth Freshner.1,Unnamed: 36,Unnamed: 37,Combo,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,lunch,Unnamed: 35,Unnamed: 34
0,05-05-2023,112,121,95,117,Cornflakes,Apple,Chana Chat,uttpam, Coconut Chutney/ Sambhar,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Lemon tang,Chana Chat,Panchmel dal,paneer do pyaza,butter chicken,"Papad, Pickle, Gud", Rice,Tandoori naan & roti,,Suji halwa,,,Sweet Red/ Green Chutney,Lemonade,Hot & Cold Milk,Lemonade,Three Beans Salad,Aloo beans,,Hariyali Daal,"Papad, Pickle, Gud",Plain Rice,Plain Roti,,,,,,,,,,,,,,,"Rajma, Rice",,,,,,Pav Bhaji,"Ring Onion, Chutney",
1,07-05-2023,85,126,100,166,Chocos,Papaya,boiled egg,Sooji Uttapam,Coconut Chutney/ Sambhar,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Masala Chaas,"Tomatoes, Onion Rings",,black masur dal,Cheese Tomato,Tandoori Butter Chicken,"Papad, Pickle, Gud",Plain Rice,Garlic Naan,Gulab Jamun,,Samosa,Green / Red sweet chutney,Masala Tea,Thandai,Curd,Green Salad,Kathal,,Moong-Masoor Daal,"Papad, Pickle, Gud",Plain Rice,Poori,,,,,,,,,,,,,,,,,,,,,,,
2,09-05-2023,90,172,127,181,Cornflakes,,Boiled Egg,,,Coffee Powder/Butter/Jam,Brown Bread,,Hot and cold Milk,Boondi Raita,Laccha Onion,Mix veg,,Paneer Biriyani,Chicken Biriyani,Papad/Pickle/jaggery,,  Roti,Shahi Tukda,,Assorted Fruits,"Chaat Masala, Salt",,,Lemonade,Three Bean Salad,,,,Papad/Pickle/jaggery,Plain Rice,Roti,,Guava,Alu-Pyaaz Parantha,Curd,Adrak Elaichi Masala Tea,,Yellow moong daal,,Hot and cold Milk,Adrak Elaichi Masala Tea, Rajma Masala,,,,,,,,,,,,
3,13-05-2023,78,137,115,97,Cornflakes,Apple,Chana Chat,Masala Dosa,Coconut Chutney/ Sambhar,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Shikanji,Three bean Salad,Tawa Veg,Malai Kofta,,,"Papad, Pickle, Gud",Plain rice,Plain Roti,Fruit Custard,,Hara-Bhara kebabs,"Oregano, Chili Flakes, Ketchup",Orange Tang,Hot & Cold Milk,Curd,Green Salad,Navratan Korma,,Dal Fry,"Papad, Pickle, Gud",Jeera Rice,Laccha Paratha,,,,,,,,,,,,,,,"Green Thai Curry, Rice",,,,,,,,
4,14-05-2023,83,176,124,131,Chocos,Musk melon,Sprouts,Sooji Uttapam,Coconut Chutney/ Sambhar,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Sweet lassi,Green Salad,Punjabi Chole,Aloo Bhaji,,,"Papad Pickle, Gud",Rice,Amritsari Kulcha,,,Chili Garlic Noodles,Green / Red sweet chutney,Masala Tea,Hot & Cold Milk,Curd,Green Salad,Baigan bharta,,Dal Fry,"Papad, Pickle, Gud",Jeera Rice,Laccha Paratha,Thandi Kesar Kheer,,,,,,,,,,,,,,Burger and French Fries,,,,,,,,
5,15-05-2023,99,187,116,181,Cornflakes,Watermelon,BOILED EGGS,Aloo Pyaaz Paratha,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Boondi Raita,Onion Rings,,Dal Fry,Paneer Angara,Chicken Chettinad,"Papad, Pickle, Gud",Plain Rice,Plain roti,Icecream,,Corn Sandwich,Ketchup,Shikanji,Hot & Cold Milk,Masala Chaach,Three Beans Salad,Aaloo Gobhi,,Rajma Masala,"Papad, Pickle, Gud",Plain Rice,Roti,,,,,,,,,,,,,,,Pav Bhaji,,,,,,,,
6,16-05-2023,127,176,110,181,Wheatflakes,Apple,Omelette,"Aloo Poha, Indori Sev",Red & Green Chutney,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Sweet Lassi,Three Beans Salad,Bhindi Masala,Dal Lasoni,,,Fried Papad,Rice,Plain Roti,Gulab Jamun,,Mix Fruits,Chaat Masala,Rooh Afza in Water,Hot & Cold Milk,Cream Tomato Soup,Crispy Veg,Red Sauce Pasta,,Cajun Potatoes in White Sauce,"Oregano, Chili Flakes",Fried Rice,Cheese Garlic Bread,,,,,,,,,,,,,,,"Matar paneer , lacha prantha",,,,,,,,
7,17-05-2023,112,201,119,145,Chocos,Banana,Sprouts,Gobhi Aloo Paratha,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Lemon tang,Kimchi Salad,Na,Dal Fry,Chilli Paneer,Chilli Chicken,,Schezwan Fried Rice,Roti,Pastry,,Corn Chaat,Tomato Ketchup,Masala Tea,Hot & Cold Milk,mango tang,Green Salad,Khatta meetha Pumpkin,,Black chana,"Papad, Pickle, Gud",Plain Rice,Roti,,,,,,,,,,,,,,,Kadhi Chawal,,,,,,,,
8,18-05-2023,110,170,105,135,Wheatflakes,Mango,Omelette,Aloo Poori,Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Shikanji,Three bean Salad,Tawa Veg,Rajma Masala,,,"Papad, Pickle, Gud",Plain rice,Plain Roti,Suji Halwa,,wada pav,Green / Red sweet chutney,Masala Tea,Hot & Cold Milk,Boondi Raita,Green Salad,Nutri Aloo,,Daal Punjabi,"Papad, Pickle, Gud",Veg Biryani,Roti,,,,,,,,,,,,,,,Manchurian and Fried Rice,,,,,,,,
9,19-05-2023,121,182,117,141,Chocos,Watermelon,BOILED EGGS,Mix Paratha,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Sweet Lassi,Chana Chat,,Arhar Daal,Paneer khurchan ,Tandoori Butter Chicken,"Papad, Pickle, Gud",Plain rice,Tandoori garlic naan,Popsicle,,Homestyle Macaroni,Sauce and Red Chutney,Lemon Iced Tea,Hot & Cold Milk,Curd,Green Salad,Navratan Korma,,Dal Fry,"Papad, Pickle, Gud",Plain Rice,Roti,,,,,,,,,,,,,,,Chhole Bhature,,,,,,,,
